time,x,y,z,qx,qy,qz,qw,roll,pitch,yaw
3.39783,-0.302953,-0.043337,1.55828,0.00389779,0.0118522,-0.00441401,0.999912,0.00790183,0.0236701,-0.00892226
3.40771,-0.303123,-0.0433523,1.55841,0.000820829,0.013421,-0.00326712,0.999904,0.00172982,0.0268374,-0.00655805
3.41784,-0.303361,-0.0433565,1.55842,-0.000782807,0.014438,-0.00278924,0.999892,3.14011,3.11271,3.13603
3.4279,-0.303524,-0.043233,1.55843,-0.00155809,0.0148045,-0.00258942,0.999886,3.13855,3.11197,3.13646
3.43769,-0.30353,-0.0428907,1.55846,-0.00126811,0.0138411,-0.00267277,0.9999,3.13913,3.1139,3.13628
3.44768,-0.303576,-0.042617,1.55851,-0.000533227,0.0129714,-0.00263964,0.999912,3.14059,3.11565,3.13633
3.45769,-0.303724,-0.0422169,1.55844,0.00243962,0.0119691,-0.0033749,0.99992,0.00496108,0.0239221,-0.00680966
3.46772,-0.303946,-0.0418635,1.55836,0.0050055,0.0121835,-0.00425292,0.999904,0.0101168,0.0243244,-0.00862965
3.47771,-0.304112,-0.0415753,1.55833,0.00786916,0.0121129,-0.00485084,0.999884,0.0158593,0.024149,-0.00989423
3.48774,-0.30427,-0.0413754,1.55836,0.0100419,0.0121707,-0.00479051,0.999864,0.020205,0.0242442,-0.0098272
3.49776,-0.304548,-0.0411157,1.55828,0.0126074,0.0128451,-0.00501928,0.999825,0.0253503,0.025562,-0.0103643
3.50771,-0.304738,-0.0410259,1.55828,0.0137605,0.0141434,-0.00459277,0.999795,0.0276597,0.0281582,-0.00957684
3.51785,-0.304981,-0.0409567,1.5583,0.0143951,0.0159777,-0.00431951,0.999759,0.0289399,0.0318288,-0.00910167
3.52777,-0.305025,-0.0407773,1.55828,0.0156414,0.0163388,-0.0045531,0.999734,0.0314451,0.0325321,-0.00962014
3.53773,-0.305123,-0.0406639,1.55828,0.0160198,0.0170431,-0.00486509,0.999715,0.0322204,0.0339272,-0.0102796
3.5478,-0.305347,-0.0408016,1.55836,0.0141046,0.0191221,-0.00491868,0.999706,0.0284135,0.0381034,-0.0103816
3.55781,-0.305346,-0.0409972,1.55853,0.0112259,0.0201082,-0.00440605,0.999725,0.022643,0.0401173,-0.00926873
3.56782,-0.305393,-0.0410978,1.55857,0.00891176,0.0205995,-0.00430734,0.999739,0.0180125,0.041123,-0.0089873
3.57781,-0.305364,-0.0411552,1.55858,0.00686519,0.0203447,-0.00433005,0.99976,0.0139152,0.0406313,-0.00894486
3.58778,-0.305359,-0.0412758,1.55865,0.00425566,0.0204504,-0.00443026,0.999772,0.00869795,0.0408651,-0.00904023
3.59787,-0.305294,-0.041384,1.55873,0.00166961,0.0198767,-0.0044764,0.999791,0.00351926,0.0397407,-0.00902454
3.60772,-0.305226,-0.0414272,1.55883,-4.47669e-05,0.0191943,-0.0046395,0.999805,8.86525e-05,0.0383909,-0.00928244
3.61779,-0.30517,-0.0415374,1.55895,-0.00210389,0.0195373,-0.00402049,0.999799,3.13754,3.1025,3.13363
3.62767,-0.305138,-0.041517,1.55889,-0.00200493,0.018685,-0.00420138,0.999815,3.13774,3.1042,3.13326
3.63762,-0.305013,-0.0414542,1.55884,-0.000886273,0.0169247,-0.00428408,0.999847,3.13996,3.10773,3.13305
3.64779,-0.304944,-0.0414441,1.55883,-2.03914e-05,0.0156555,-0.00433177,0.999868,9.49008e-05,0.0313121,-0.00866612
3.65786,-0.304828,-0.041327,1.55884,0.00156248,0.015065,-0.00433512,0.999876,0.00325668,0.0301172,-0.0087203
3.66777,-0.304786,-0.0412776,1.55887,0.00314417,0.0156367,-0.0042858,0.999864,0.00642469,0.0312473,-0.0086731
3.67775,-0.304761,-0.0412285,1.55888,0.00563658,0.0159841,-0.00427488,0.999847,0.0114142,0.0319206,-0.0087332
3.68776,-0.304671,-0.0411568,1.55883,0.00854722,0.0156095,-0.00429642,0.999832,0.0172349,0.0311453,-0.00886265
3.69769,-0.304507,-0.0410599,1.55879,0.0116357,0.0143758,-0.00419219,0.99982,0.0233996,0.0286528,-0.00872112
3.70772,-0.30442,-0.0410762,1.55879,0.013423,0.0139299,-0.00390701,0.999805,0.0269634,0.027753,-0.0081897
3.71774,-0.304441,-0.0410696,1.55872,0.0151434,0.0142158,-0.00417585,0.999776,0.0304156,0.0283024,-0.008784
3.72767,-0.304337,-0.0410451,1.55868,0.0167718,0.0138998,-0.00455814,0.999752,0.0336813,0.0276433,-0.00958407
3.73762,-0.304243,-0.0411109,1.55866,0.0174725,0.0138314,-0.00486047,0.99974,0.0350908,0.0274892,-0.0102058
3.74771,-0.304149,-0.0412823,1.55865,0.0169814,0.0142603,-0.00523059,0.99974,0.0341235,0.0283394,-0.0109474
3.75763,-0.303843,-0.0415126,1.55873,0.0155377,0.0135875,-0.00476442,0.999776,0.0312145,0.027024,-0.00995273
3.76767,-0.303746,-0.0418507,1.55879,0.0131292,0.0142626,-0.00410328,0.999804,0.0263841,0.0284157,-0.00858304
3.77771,-0.303569,-0.0421902,1.55881,0.0101455,0.0145336,-0.00370558,0.999836,0.0204053,0.0289914,-0.00770816
3.78769,-0.30338,-0.0424645,1.55881,0.00851292,0.0134873,-0.00368735,0.999866,0.0171301,0.0269115,-0.00760617
3.79772,-0.3032,-0.0427599,1.55879,0.00680868,0.0121851,-0.00355569,0.999896,0.0137071,0.0243217,-0.00727879
