time,x,y,z,qx,qy,qz,qw,roll,pitch,yaw
0.915462,-0.00999941,0.003169,1.50756,0.023609,0.00428321,0.00305383,0.999707,0.0471974,0.00870822,0.00590388
0.925485,-0.0100021,0.00303562,1.50742,0.0236842,0.00404451,0.00308005,0.999707,0.0473488,0.00823264,0.00596694
0.935584,-0.0100143,0.00288975,1.50729,0.0237342,0.0038123,0.0031067,0.999706,0.0474501,0.00776992,0.00603084
0.945506,-0.0100234,0.00275676,1.50718,0.0237974,0.00359264,0.00310777,0.999705,0.0475777,0.00733114,0.00604291
0.955568,-0.0100477,0.00260433,1.50704,0.0238457,0.00339496,0.00310915,0.999705,0.0476754,0.00693624,0.00605474
0.965507,-0.0101094,0.00242327,1.50686,0.0238382,0.00324322,0.00312667,0.999706,0.0476612,0.00663364,0.00609705
0.975599,-0.0102031,0.00222359,1.50663,0.023822,0.00318493,0.00312204,0.999706,0.0476291,0.00651678,0.00609066
0.985654,-0.0102899,0.00201129,1.5064,0.0237976,0.00313771,0.00309762,0.999707,0.0475807,0.00642105,0.00604425
0.995721,-0.0103875,0.00178347,1.50615,0.0237548,0.00311037,0.00307158,0.999708,0.0474955,0.0063649,0.00599374
1.00555,-0.0104474,0.00158094,1.50598,0.0236897,0.00301498,0.00309095,0.99971,0.0473657,0.0061747,0.00603742
1.01566,-0.0105696,0.00131076,1.50572,0.0236303,0.002977,0.0030754,0.999712,0.0472472,0.00609767,0.00600848
1.02553,-0.0107054,0.00104668,1.50548,0.0235408,0.00295348,0.00306189,0.999714,0.0470682,0.00604947,0.00598311
1.03562,-0.0108925,0.0007465,1.50518,0.0234074,0.00297286,0.00306888,0.999717,0.0468013,0.00608775,0.005997
1.04559,-0.0110596,0.000462256,1.50492,0.0232657,0.00300867,0.00305744,0.99972,0.0465176,0.00615795,0.00597332
1.0556,-0.0112452,0.000176545,1.50468,0.0230867,0.00306129,0.00305599,0.999724,0.0461593,0.00626203,0.0059691
1.06552,-0.0113915,-6.30145e-05,1.50454,0.0229023,0.00312222,0.00303113,0.999728,0.0457902,0.00638163,0.00591775
1.07556,-0.0115458,-0.000330596,1.50437,0.02271,0.00320925,0.00300115,0.999732,0.0454051,0.00655315,0.00585509
1.08544,-0.0117422,-0.000575669,1.5042,0.0224559,0.00331676,0.0029931,0.999738,0.0448963,0.00676626,0.00583584
1.09545,-0.0119327,-0.000808765,1.50406,0.0221907,0.00345507,0.00298044,0.999743,0.044365,0.0070407,0.00580619
1.10565,-0.0121128,-0.0010343,1.50397,0.0219107,0.00361948,0.00296213,0.999749,0.0438041,0.00736701,0.00576435
1.11546,-0.0122845,-0.00124531,1.50391,0.0216058,0.00381389,0.00293972,0.999755,0.0431933,0.00775302,0.0057134
